median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
452600,8.3252,41,880,129,322,126,37.88,P
358500,8.3014,21,7099,1106,2401,1138,37.86,P
352100,7.2574,52,1467,190,496,177,37.85,P
341300,5.6431,52,1274,235,558,219,37.85,P
342200,3.8462,52,1627,280,565,259,37.85,P
269700,4.0368,52,919,213,413,193,37.85,P
299200,3.6591,52,2535,489,1094,514,37.84,P
241400,3.12,52,3104,687,1157,647,37.84,P
226700,2.0804,42,2555,665,1206,595,37.84,P
261100,3.6912,52,3549,707,1551,714,37.84,P
281500,3.2031,52,2202,434,910,402,37.85,P
241800,3.2705,52,3503,752,1504,734,37.85,P
213500,3.075,52,2491,474,1098,468,37.85,P
191300,2.6736,52,696,191,345,174,37.84,P
159200,1.9167,52,2643,626,1212,620,37.85,P
140000,2.125,50,1120,283,697,264,37.85,P
152500,2.775,52,1966,347,793,331,37.85,P
155500,2.1202,52,1228,293,648,303,37.85,P
158700,1.9911,50,2239,455,990,419,37.84,P
162900,2.6033,52,1503,298,690,275,37.84,P
147500,1.3578,40,751,184,409,166,37.85,P
159800,1.7135,42,1639,367,929,366,37.85,P
113900,1.725,52,2436,541,1015,478,37.84,P
99700,2.1806,52,1688,337,853,325,37.84,P
132600,2.6,52,2224,437,1006,422,37.84,P
107500,2.4038,41,535,123,317,119,37.85,P
93800,2.4597,49,1130,244,607,239,37.85,P
105500,1.808,52,1898,421,1102,397,37.85,P
108900,1.6424,50,2082,492,1131,473,37.84,P
132000,1.6875,52,729,160,395,155,37.84,P
122300,1.9274,49,1916,447,863,378,37.84,P
115200,1.9615,52,2153,481,1168,441,37.84,P
110400,1.7969,48,1922,409,1026,335,37.84,P
104900,1.375,49,1655,366,754,329,37.83,P
109700,2.7303,51,2665,574,1258,536,37.83,P
97200,1.4861,49,1215,282,570,264,37.83,P
104500,1.0972,48,1798,432,987,374,37.83,P
103900,1.4103,52,1511,390,901,403,37.83,P
191400,3.48,52,1470,330,689,309,37.83,P
176000,2.5898,52,2432,715,1377,696,37.83,P
155400,2.0978,52,1665,419,946,395,37.83,P
150000,1.2852,51,936,311,517,249,37.83,P
118800,1.025,49,713,202,462,189,37.84,P
188800,3.9643,52,950,202,467,198,37.84,P
184400,3.0125,52,1443,311,660,292,37.83,P
182300,2.6768,52,1656,420,718,382,37.83,P
142500,2.026,50,1125,322,616,304,37.83,P
137500,1.7348,43,1007,312,558,253,37.82,P
187500,0.9506,40,624,195,423,160,37.82,P
112500,1.775,40,946,375,700,352,37.82,P
171900,0.9218,21,896,453,735,438,37.82,P
93800,1.5045,43,1868,456,1061,407,37.82,P
97500,1.1108,41,3221,853,1959,720,37.82,P
104200,1.2475,52,1630,456,1162,400,37.82,P
87500,1.6098,52,1170,235,701,233,37.82,P
83100,1.4113,52,945,243,576,220,37.82,P
87500,1.5057,52,1238,288,622,259,37.82,P
85300,0.8172,52,1489,335,728,244,37.82,P
80300,1.2171,52,1387,341,1074,304,37.82,P
60000,2.5625,2,158,43,94,57,37.82,P
75700,3.3929,52,1121,211,554,187,37.83,P
75000,6.1183,49,135,29,86,23,37.82,P
86100,0.9011,50,760,190,377,122,37.81,P
76100,1.191,52,1224,237,521,159,37.81,P
73500,2.5938,48,828,182,392,133,37.81,P
78400,1.1667,52,1010,209,604,187,37.81,P
84400,0.8056,48,1455,354,788,332,37.81,P
81300,2.6094,52,1027,244,492,147,37.8,P
85000,1.8516,52,572,109,274,82,37.81,P
129200,0.9802,46,2801,644,1823,611,37.81,P
82500,1.7719,26,768,152,392,127,37.81,P
95200,0.7286,46,935,297,582,277,37.81,P
75000,1.75,49,844,204,560,152,37.81,P
67500,0.4999,46,12,4,18,7,37.81,P
137500,2.483,20,835,161,290,133,37.81,P
177500,0.9241,17,1237,462,762,439,37.81,P
102100,2.4464,36,2914,562,1236,509,37.81,P
108300,1.1111,19,1207,243,721,207,37.81,P
112500,0.8026,23,1745,374,1054,325,37.81,P
131300,2.0114,38,684,176,344,155,37.8,P
162500,1.5,17,924,289,609,289,37.81,P
112500,1.1667,52,210,56,183,56,37.81,P
112500,1.5208,52,340,97,200,87,37.81,P
137500,0.8075,52,386,164,346,155,37.81,P
118800,1.8088,35,948,184,467,169,37.81,P
98200,2.4083,52,773,143,377,115,37.81,P
118800,0.977,40,880,451,582,380,37.81,P
162500,0.76,10,875,348,546,330,37.81,P
137500,0.9722,10,105,42,125,39,37.8,P
500001,1.2434,52,249,78,396,85,37.8,P
162500,2.0938,16,994,392,800,362,37.8,P
137500,0.8668,52,215,87,904,88,37.8,P
162500,0.75,52,96,31,191,34,37.8,P
187500,2.6354,27,1055,347,718,302,37.79,P
179200,1.8477,39,1715,623,1327,467,37.8,P
130000,2.0096,36,5329,2477,3469,2323,37.8,P
183800,2.8345,31,4596,1331,2048,1180,37.82,P
125000,2.0062,29,335,107,202,91,37.81,P
170000,1.2185,22,3682,1270,2024,1250,37.82,P
193100,2.6104,37,3633,1085,1838,980,37.82,P
257800,2.4912,29,4656,1414,2304,1250,37.81,P
273400,3.2177,28,5806,1603,2563,1497,37.81,P
237500,3.125,39,854,242,389,228,37.81,P
350000,2.5795,52,2155,701,895,613,37.81,P
335700,2.8406,34,5871,1914,2689,1789,37.81,P
313400,4.9306,52,1509,225,674,244,37.82,P
268500,3.2727,52,2026,482,709,456,37.81,P
259400,3.1691,52,1758,460,686,422,37.81,P
275700,3.9,52,3481,751,1444,718,37.82,P
225000,3.9063,28,3337,855,1520,802,37.82,P
262500,5.0917,52,1424,289,550,253,37.82,P
218500,2.6429,32,3809,1098,1806,1022,37.82,P
255000,3.0233,26,3959,1196,1749,1217,37.82,P
224100,3.1484,52,2376,559,939,519,37.83,P
243100,3.4722,35,1613,428,675,422,37.83,P
231600,3.1429,52,1279,287,534,291,37.83,P
218500,2.4234,28,5022,1750,2558,1661,37.83,P
234100,3.0897,52,4190,1105,1786,1037,37.83,P
327600,5.8596,50,2515,399,970,373,37.84,P
347600,5.2868,47,3175,454,1098,485,37.84,P
366100,5.956,41,2576,406,794,376,37.83,P
335000,4.9643,37,334,54,98,47,37.85,P
373600,6.3434,52,2800,411,1061,403,37.85,P
389500,5.1773,52,3529,574,1177,555,37.84,P
391100,7.2354,52,2612,365,901,367,37.85,P
337300,5.457,28,5287,1048,2031,956,37.85,P
295200,7.5,50,2935,473,1031,479,37.84,P
292300,6.0194,44,3424,597,1358,597,37.84,P
411500,7.5544,40,4991,674,1616,654,37.83,P
311500,6.0666,30,2211,346,844,343,37.84,P
325900,7.0548,34,3038,490,1140,496,37.84,P
392600,11.6017,18,1617,210,533,194,37.84,P
319300,7.4882,35,2865,460,1072,443,37.84,P
333300,6.8976,34,5065,788,1627,766,37.83,P
335200,8.2049,28,1326,184,463,190,37.83,P
351200,8.401,26,1589,223,542,211,37.83,P
368900,6.8538,29,1791,271,661,269,37.83,P
365900,8.317,32,1835,264,635,263,37.82,P
366700,7.0175,37,1229,181,420,176,37.82,P
362800,6.3302,39,3770,534,1265,500,37.82,P
483300,6.3624,30,292,38,126,52,37.81,P
331400,7.0549,52,2375,333,813,350,37.82,P
323500,6.7851,45,2964,436,1067,426,37.81,P
216700,2.8929,50,2833,605,1260,552,37.8,P
233100,3.0812,38,2254,535,951,487,37.8,P
296400,5.2402,52,1389,212,510,224,37.81,P
273700,6.5217,52,1971,335,765,308,37.81,P
227700,3.2632,52,2183,465,1129,460,37.8,P
199600,3.0298,52,2286,464,1073,441,37.8,P
239800,4.5428,52,2721,541,1185,515,37.8,P
270100,4.072,52,2024,339,756,340,37.81,P
302100,5.3509,52,2944,536,1034,521,37.81,P
269500,3.1603,52,2033,486,787,459,37.8,P
314700,4.7708,52,1433,229,612,213,37.81,P
390100,8.1564,52,2927,402,1021,380,37.81,P
410300,8.8793,52,2315,292,861,258,37.81,P
352400,6.8591,52,2485,313,953,327,37.81,P
287300,6.0302,52,1490,238,634,256,37.81,P
348700,7.508,52,2814,365,878,352,37.81,P
243800,2.7477,52,2093,550,918,483,37.81,P
211500,2.1944,52,888,168,360,175,37.8,P
218400,3.0149,52,2087,510,1197,488,37.8,P
269900,3.675,52,2513,502,1048,518,37.81,P
218800,3.225,46,3232,835,1373,747,37.81,P
225000,2.9345,42,4120,1065,1715,1015,37.8,P
250000,2.1429,43,2364,792,1359,722,37.8,P
171400,1.6121,41,1471,469,1062,413,37.8,P
193800,1.3929,29,2468,864,1335,773,37.8,P
125000,2.3173,27,1632,492,1171,429,37.79,P
97500,1.7772,45,1786,526,1475,460,37.79,P
125000,2.6458,50,629,188,742,196,37.79,P
138800,2.181,52,1339,391,1086,363,37.79,P
116700,2.2303,36,1678,606,1645,543,37.8,P
151800,1.6504,43,2344,647,1710,644,37.8,P
127000,2.2697,52,996,228,731,228,37.8,P
128600,2.1563,52,1591,373,1118,347,37.8,P
140600,2.1348,52,1586,398,1006,335,37.8,P
182700,2.6292,47,2046,588,1213,554,37.8,P
146900,2.3833,52,1192,289,772,257,37.8,P
122800,2.957,52,1803,420,1321,401,37.8,P
169300,2.5238,49,2838,749,1487,677,37.8,P
126600,1.9375,52,783,184,488,186,37.8,P
127900,1.9028,51,1590,414,949,392,37.8,P
123500,2.25,50,1746,480,1149,415,37.8,P
111900,2.3929,52,1252,299,844,280,37.8,P
112800,2.1917,43,5963,1344,4367,1231,37.79,P
107900,2.9357,52,1783,395,1659,412,37.79,P
137500,1.8854,30,999,264,1011,263,37.79,P
105500,2.1638,39,1469,431,1464,389,37.79,P
95500,2.125,47,1372,395,1237,303,37.79,P
116100,3.375,52,674,180,647,168,37.79,P
112200,2.2542,43,1626,376,1284,357,37.79,P
75000,2.1,51,175,43,228,55,37.79,P
112500,1.6,39,461,129,381,123,37.79,P
125000,3.625,52,902,237,846,227,37.79,P
115000,1.6929,20,2373,779,1659,676,37.8,P
95000,1.6471,52,391,128,520,138,37.77,P
96400,2.59,52,1137,301,866,259,37.77,P
72000,2.57,52,769,206,612,183,37.77,P
71300,2.6429,52,472,146,415,126,37.78,P
80800,3.0257,52,862,215,994,213,37.78,P
128800,1.4886,50,1920,530,1525,477,37.78,P
112500,1.9338,43,1420,472,1506,438,37.78,P
119400,1.4844,52,986,258,1008,255,37.78,P
118100,1.6009,44,2340,825,2813,751,37.78,P
122500,2.0375,48,1696,396,1481,343,37.79,P
106300,2.293,49,1175,217,859,219,37.79,P
132500,2.1494,37,2343,574,1608,523,37.79,P
122700,1.6198,30,610,145,425,140,37.79,P
113300,1.3281,40,930,199,564,184,37.79,P
109500,3.5156,44,1487,314,961,272,37.79,P
164700,3.9048,52,3424,690,2273,685,37.79,P
125000,3.0893,52,762,190,600,195,37.79,P
124700,2.6042,46,2366,575,1647,527,37.79,P
136700,2.5,49,1826,450,1201,424,37.79,P
141700,2.7969,38,3049,711,2167,659,37.79,P
150000,2.8321,29,1640,376,939,340,37.79,P
138800,2.9583,47,1543,307,859,292,37.79,P
139200,2.8365,34,2364,557,1517,516,37.79,P
143800,2.875,35,1745,409,1143,386,37.79,P
156500,3.0682,39,2003,500,1109,464,37.8,P
151000,3.0757,39,2018,447,1221,446,37.8,P
273000,4.9559,43,3045,499,1115,455,37.8,P
217100,4.7721,52,1547,293,706,268,37.8,P
187100,3.4861,52,3519,711,1883,706,37.8,P
239600,5.1184,41,2070,354,804,340,37.8,P
229700,4.0977,48,1321,263,506,252,37.8,P
257300,4.744,48,1694,259,610,238,37.8,P
246900,4.2727,46,1938,341,768,332,37.8,P
179900,2.9844,50,968,195,462,184,37.79,P
169600,4.1739,40,1060,256,667,235,37.79,P
203300,3.8487,46,2041,405,1059,399,37.8,P
263400,4.0114,52,1813,271,637,277,37.8,P
231800,4.6563,45,2718,451,1106,454,37.79,P
140500,2.9297,28,3144,761,1737,669,37.79,P
126000,2.3036,35,1802,459,1009,390,37.79,P
122000,2.6667,49,882,195,737,210,37.79,P
134700,2.619,44,1621,452,1354,491,37.79,P
139400,2.4167,45,2115,533,1530,474,37.79,P
115400,2.7788,45,2021,528,1410,480,37.79,P
137300,2.7352,46,2239,508,1390,569,37.78,P
137000,1.8472,52,1477,300,1065,269,37.78,P
142600,2.6583,52,1056,224,792,245,37.78,P
137500,3.0536,49,898,244,779,245,37.78,P
111700,2.3906,44,2968,710,2269,610,37.78,P
126800,1.7188,43,1702,460,1227,407,37.78,P
111300,2.625,47,881,248,753,241,37.78,P
114800,2.8015,40,494,114,547,135,37.77,P
102300,1.7276,50,1776,473,1807,440,37.78,P
131900,2.0801,44,1678,514,1700,495,37.78,P
119100,2.489,51,1637,463,1543,393,37.78,P
80600,1.7546,52,1420,314,1085,300,37.76,P
80600,4.0904,52,591,173,353,137,37.77,P
88800,2.6765,52,745,153,473,149,37.77,P
102400,2.4338,49,2272,498,1621,483,37.77,P
98700,2.3309,46,1234,375,1183,354,37.77,P
100000,2.2604,43,1017,328,836,277,37.77,P
92300,1.8039,42,932,254,900,263,37.77,P
94800,2.2562,39,2689,597,1888,537,37.77,P
102000,2.0562,41,1547,415,1024,341,37.77,P
158400,3.5398,52,2300,443,1225,423,37.78,P
121600,3.1167,39,1752,399,1071,376,37.78,P
129100,2.5401,50,1867,403,1128,378,37.78,P
121400,2.898,43,2430,502,1537,484,37.77,P
102800,2.3125,44,1729,414,1240,393,37.78,P
160000,2.875,52,1026,180,469,168,37.78,P
143900,3.3715,52,2170,428,1086,425,37.77,P
151200,3.5114,52,2329,445,1144,417,37.77,P
164400,4.3125,52,2492,415,1109,375,37.78,P
156500,3.22,52,2198,397,984,369,37.78,P
225000,3.875,33,142,31,575,47,37.78,P
174200,5.2328,49,1183,205,496,209,37.78,P
166900,3.7262,52,1070,193,555,190,37.78,P
163500,4.5893,45,1766,332,869,327,37.78,P
253000,5.2578,39,617,95,236,106,37.79,P
240700,7.0875,41,1411,233,626,214,37.79,P
208100,3.9712,46,2109,387,922,329,37.79,P
198100,2.9514,47,1229,243,582,256,37.79,P
172800,2.6667,50,954,217,546,201,37.79,P
336700,5.4446,37,1643,262,620,266,37.81,P
318200,6.2838,34,1355,195,442,195,37.8,P
285800,6.7527,23,2317,336,955,328,37.8,P
293000,7.0712,24,2459,317,916,324,37.77,P
371000,5.9849,22,12842,2048,4985,1967,37.79,P
157300,3.6875,42,1524,260,651,267,37.78,P
135300,2.875,30,3326,746,1704,703,37.77,P
136700,3.4205,43,1985,440,1085,407,37.78,P
160700,3.2984,50,1642,322,713,284,37.78,P
140600,3.875,49,893,177,468,181,37.78,P
144000,4.175,52,653,128,296,121,37.78,P
161900,4.375,47,1256,217,570,218,37.77,P
156300,4.7708,48,977,194,446,180,37.77,P
176000,3.5739,45,2324,397,968,384,37.77,P
145800,3.0958,39,1583,349,857,316,37.77,P
141900,3.3958,39,1612,342,912,322,37.77,P
90700,1.871,31,2424,533,1360,452,37.77,P
90600,1.9356,41,1594,367,1074,355,37.76,P
107900,2.1842,47,2118,413,965,382,37.76,P
107000,2.2917,37,1575,358,933,320,37.76,P
98200,2.4333,38,1764,397,987,354,37.76,P
89500,1.9479,50,1187,261,907,246,37.76,P
93800,3.9063,52,754,175,447,165,37.76,P
96700,1.8407,49,2308,452,1299,451,37.76,P
97500,2.0786,27,909,236,396,157,37.77,P
97300,2.8125,42,1180,257,877,268,37.77,P
91200,1.8913,43,2018,408,1111,367,37.76,P
91400,1.7056,49,1368,282,790,269,37.76,P
96200,2.2768,52,2744,547,1479,554,37.77,P
120100,3.2552,51,2107,471,1173,438,37.77,P
100000,2.0556,52,1748,362,1029,366,37.77,P
94700,2.4659,52,2024,391,1030,350,37.76,P
85700,1.75,47,1116,259,826,279,37.76,P
89300,2.0469,41,2036,510,1412,454,37.77,P
101400,2.7159,45,1852,393,1132,349,37.77,P
72500,1.2083,41,921,207,522,159,37.76,P
74100,1.925,45,995,238,630,237,37.76,P
70000,1.5809,36,606,132,531,133,37.75,P
84600,1.4097,37,2680,736,1925,667,37.76,P
81800,0.7683,38,1493,370,1144,351,37.76,P
81400,1.3194,19,2207,565,1481,520,37.75,P
81800,0.8012,28,856,189,435,162,37.75,P
85800,1.9479,26,1293,297,984,303,37.76,P
87100,1.1765,36,847,212,567,159,37.74,P
83500,2.3456,42,541,154,380,123,37.74,P
79700,2.1538,44,1066,253,825,244,37.73,P
83400,2.5139,43,707,147,417,155,37.74,P
84700,1.2625,45,1528,291,801,287,37.73,P
80000,2.9063,42,909,215,646,198,37.73,P
76400,2.5192,43,1391,293,855,285,37.73,P
79700,2.1111,44,548,119,435,136,37.73,P
82400,2.455,42,4074,874,2736,780,37.73,P
97700,2.4028,41,1613,445,1481,414,37.74,P
97200,2.15,47,463,134,327,137,37.74,P
101600,2.4776,43,818,193,494,179,37.74,P
86500,2.1587,43,1473,371,1231,341,37.73,P
90500,1.8438,35,504,126,323,109,37.74,P
107600,3.0298,46,1026,226,749,225,37.74,P
84200,2.25,46,769,183,693,178,37.74,P
88900,2.2467,46,2103,391,1339,354,37.74,P
80700,4.0469,45,330,76,282,80,37.75,P
87100,1.325,46,941,218,621,195,37.75,P
85100,1.6196,38,992,279,732,259,37.75,P
82000,2.1731,45,990,261,901,260,37.75,P
82800,1.9167,36,1126,263,482,150,37.75,P
84600,2.069,43,1036,233,652,213,37.75,P
82100,1.712,36,1047,214,651,166,37.75,P
89300,2.5625,33,1280,307,999,286,37.76,P
98300,1.9821,43,1587,320,907,306,37.75,P
92300,2.5043,41,1257,271,828,230,37.75,P
88800,2.3281,44,1218,248,763,254,37.75,P
90000,1.4375,48,1751,390,935,349,37.75,P
95500,2.5122,45,2299,514,1437,484,37.76,P
91700,1.5625,38,2457,624,1516,482,37.75,P
100400,3.1587,47,998,211,597,185,37.75,P
94800,1.8426,40,1685,343,949,342,37.76,P
164300,4.6696,46,1827,307,881,302,37.76,P
155500,2.4598,36,2781,574,1438,519,37.76,P
196900,6.0749,39,1823,286,763,270,37.76,P
279100,4.8304,27,2229,365,1297,355,37.77,P
252800,5.5701,34,1513,231,545,211,37.76,P
275400,5.37,26,3266,491,1222,533,37.76,P
250000,6.86,33,1809,261,808,219,37.75,P
329800,7.6923,28,794,111,329,109,37.75,P
195500,4.0313,36,690,105,299,109,37.75,P
255900,6.8323,33,1334,200,579,202,37.75,P
311100,4.975,30,414,54,137,50,37.75,P
330000,5.3602,36,768,93,229,93,37.75,P
248900,5.0,41,4400,666,1476,648,37.74,P
142900,2.925,46,954,161,429,154,37.75,P
126300,3.8913,40,1445,256,849,255,37.75,P
135800,3.225,44,1938,399,946,331,37.75,P
130600,3.1458,41,856,178,571,191,37.74,P
107900,2.537,24,1790,454,1137,386,37.75,P
111100,2.5568,44,617,131,378,135,37.75,P
122000,3.5083,43,1383,275,853,272,37.74,P
118000,3.3125,49,1325,277,764,282,37.74,P
95200,1.8235,40,1227,294,928,261,37.75,P
94300,3.8047,35,667,140,406,133,37.75,P
92500,2.2917,34,1223,281,824,280,37.74,P
91800,2.4962,37,1379,287,835,259,37.75,P
109400,4.0417,43,1534,300,826,295,37.74,P
129500,3.4844,46,1029,181,567,211,37.74,P
143400,4.1458,52,771,147,355,144,37.74,P
98200,2.625,47,824,223,533,166,37.74,P
103100,2.0227,44,1097,239,609,215,37.74,P
276800,3.3333,49,1283,238,576,236,37.9,P
270900,5.338,52,1604,263,594,286,37.9,P
246200,3.4732,52,2248,422,870,377,37.89,P
224200,3.5125,38,2263,522,1027,509,37.9,P
229100,3.1375,52,1571,349,693,326,37.89,P
211600,2.8036,46,1520,402,815,375,37.89,P
256100,4.5824,15,5083,1212,2420,1146,37.9,P
206300,3.0208,36,1077,293,518,276,37.89,P
221300,4.0875,52,1248,283,620,275,37.89,P
207400,4.5268,42,1342,291,551,266,37.89,P
350000,1.7375,37,3061,930,2556,924,37.88,P
218200,3.1795,52,3171,698,1498,696,37.89,P
216700,3.8672,50,1211,261,523,227,37.88,P
270600,5.1675,52,979,175,374,153,37.89,P
261400,5.1696,52,2269,380,1004,371,37.89,P
261300,4.2614,52,1844,332,769,334,37.88,P
232200,5.0551,52,2178,421,940,423,37.89,P
375400,5.6228,42,1650,274,645,256,37.9,P
357300,7.8864,52,1927,279,705,288,37.9,P
374400,7.9556,52,2079,273,684,275,37.9,P
358800,6.174,52,1803,240,572,236,37.9,P
417500,6.9414,52,2041,270,671,253,37.9,P
430500,8.8342,52,3046,373,975,365,37.89,P
362900,7.1754,52,2318,328,779,312,37.9,P
397000,10.0825,52,2003,250,658,244,37.9,P
346800,4.9083,52,2261,328,819,335,37.9,P
327100,5.7912,52,1225,169,412,168,37.89,P
290100,4.5893,52,2315,408,835,369,37.89,P
292000,5.4171,52,2070,329,722,306,37.89,P
270900,4.125,52,2616,473,1085,487,37.89,P
371100,7.266,52,2640,366,973,355,37.89,P
335600,5.3989,52,1978,293,723,272,37.89,P
371300,7.8336,37,2220,335,903,362,37.9,P
344000,6.1593,41,1125,195,356,181,37.89,P
342200,6.381,52,3078,494,1005,462,37.89,P
370900,6.6828,52,3706,531,1205,504,37.89,P
350000,7.5385,37,3000,457,987,450,37.89,P
368600,6.7138,42,2863,460,1031,448,37.89,P
391800,6.2425,52,2551,417,894,404,37.88,P
415300,5.7979,52,2255,410,823,377,37.88,P
284900,4.2813,52,3360,648,1232,621,37.88,P
287500,3.5417,52,1693,391,669,367,37.88,P
272900,3.0132,44,2252,592,989,550,37.88,P
259600,4.1429,52,2495,491,1058,464,37.88,P
254500,4.1912,52,1193,200,506,207,37.88,P
235600,3.9167,52,1172,215,489,218,37.88,P
218400,3.8897,52,2159,424,824,388,37.88,P
229200,3.1065,48,2365,490,1034,475,37.88,P
192100,2.9926,46,1895,442,920,425,37.88,P
179300,3.556,52,1650,395,841,380,37.88,P
187500,1.475,45,453,146,749,137,37.88,P
138800,1.6971,52,409,97,208,98,37.88,P
150000,2.1705,10,503,118,228,100,37.87,P
140600,2.75,50,499,127,287,128,37.86,P
120000,2.5682,52,477,119,218,106,37.85,P
144800,2.9,46,1647,376,854,355,37.88,P
144800,2.2208,52,3123,749,1695,684,37.87,P
245500,3.2344,52,957,188,403,172,37.88,P
200000,3.5156,52,589,132,288,131,37.87,P
173700,1.9805,49,2026,548,963,521,37.87,P
185600,2.6684,50,1829,536,1129,516,37.87,P
182600,3.875,52,895,198,386,204,37.87,P
227900,3.006,52,1909,416,811,406,37.88,P
220700,2.543,46,3022,696,1293,675,37.87,P
212000,2.8676,46,1777,446,805,431,37.87,P
271400,2.1907,52,2803,930,1372,876,37.88,P
268800,1.7778,30,1465,439,862,425,37.87,P
277800,2.52,37,2619,682,1152,616,37.88,P
332500,4.2788,52,1149,255,483,249,37.88,P
338900,2.944,52,2363,604,1558,573,37.88,P
287500,1.725,52,2604,837,1798,769,37.88,P
384600,5.2289,41,685,141,266,123,37.87,P
371400,2.5562,42,1756,465,2184,422,37.87,P
350000,0.949,52,1204,460,2016,477,37.87,P
500001,1.1696,52,609,236,1349,250,37.87,P
175000,1.4012,52,1087,371,3337,350,37.87,P
241700,1.1859,52,2773,998,1721,949,37.87,P
216700,1.7464,35,3218,1108,1675,1000,37.87,P
211300,2.8846,49,1350,368,707,350,37.87,P
210200,2.7372,52,3084,698,1424,694,37.87,P
196400,3.8594,52,938,195,393,189,37.86,P
191700,3.5625,52,1813,353,828,339,37.87,P
182300,2.2788,52,1233,300,571,292,37.87,P
175000,2.537,44,2539,755,1382,713,37.87,P
165900,2.525,46,1267,324,792,321,37.87,P
156900,1.9946,52,1665,404,815,372,37.86,P
164300,2.8214,52,1659,367,788,346,37.86,P
150000,2.6165,52,2225,460,1145,430,37.87,P
150500,1.9483,50,2485,607,1354,563,37.86,P
169900,1.9327,52,2031,450,958,445,37.86,P
147400,1.9798,49,2932,668,1361,608,37.86,P
152700,2.4167,52,2246,472,1005,449,37.85,P
182700,2.5417,49,2052,435,924,414,37.86,P
179300,3.3906,52,1999,417,780,358,37.86,P
157700,2.5652,52,3007,691,1582,636,37.86,P
153100,2.2845,41,2214,550,1213,568,37.86,P
250000,2.6071,52,1088,305,486,267,37.86,P
206300,3.15,52,834,186,494,175,37.86,P
218800,2.6914,52,1769,372,849,365,37.86,P
198200,1.8447,52,2307,583,1127,548,37.86,P
253600,1.6307,35,5161,1744,3276,1742,37.86,P
257400,2.9044,52,3497,832,1493,794,37.86,P
289500,2.9405,52,3774,744,1461,679,37.86,P
241700,3.3893,52,2888,604,1253,538,37.86,P
489600,3.0417,48,2153,517,1656,459,37.86,P
446200,7.0897,52,1389,191,514,202,37.86,P
456300,5.0463,52,1709,318,719,295,37.86,P
336800,1.7652,52,1587,444,878,449,37.86,P
500001,7.8521,52,1668,225,517,214,37.86,P
500001,9.3959,52,3726,474,1366,496,37.85,P
376900,5.3794,52,4048,663,1316,590,37.86,P
309600,3.2619,52,3618,768,1508,755,37.85,P
182300,2.7054,52,4076,920,1800,815,37.85,P
172700,2.2431,47,2077,400,719,326,37.85,P
150800,1.9028,50,1279,300,675,255,37.85,P
153600,1.5817,52,1974,426,875,363,37.85,P
106300,2.2841,52,335,83,152,77,37.85,P
142300,1.3785,47,1375,307,843,319,37.85,P
